"chan1_id","sales2_id","sales1_id","dma1_id"
"Terrestial Radio-Speed Perk","AAP","Brakes","NEW HAVEN/HARTFORD-CT"
"Terrestial Radio-Speed Perk","AAP","Brakes","National"
"Terrestial Radio-Speed Perk","AAP","Brakes","ORLANDO/DAYTONA/MELBOURNE-FL"
"Terrestial Radio-Speed Perk","AAP","Brakes","PHILADELPHIA-PA"
"Terrestial Radio-Speed Perk","AAP","Brakes","PITTSBURGH-PA"
"Terrestial Radio-Speed Perk","AAP","Brakes","PORTLAND-OR"
"Terrestial Radio-Speed Perk","AAP","Brakes","RALEIGH-NC"
"Terrestial Radio-Speed Perk","AAP","Brakes","SALT LAKE CITY-UT"
"Terrestial Radio-Speed Perk","AAP","Brakes","SAN ANTONIO-TX"
"Terrestial Radio-Speed Perk","AAP","Brakes","SEATTLE-WA"
"Terrestial Radio-Speed Perk","AAP","Brakes","ST. LOUIS-MO"
"Terrestial Radio-Speed Perk","AAP","Brakes","TAMPA/ST. PETE/LAKELAND-FL"
"Terrestial Radio-Speed Perk","AAP","Brakes","TRI-STATE-NY/NJ/CT"
"Terrestial Radio-Speed Perk","AAP","Brakes","WASHINGTON D.C."
"Terrestial Radio-Speed Perk","AAP","Other","ALBUQUERQUE/SANTA FE-NM"
"Terrestial Radio-Speed Perk","AAP","Other","ATLANTA-GA"
"Terrestial Radio-Speed Perk","AAP","Other","AUSTIN-TX"
"Terrestial Radio-Speed Perk","AAP","Other","BALTIMORE-MD"
"Terrestial Radio-Speed Perk","AAP","Other","BIRMINGHAM-AL"
"Terrestial Radio-Speed Perk","AAP","Other","BOSTON-MA"
"Terrestial Radio-Speed Perk","AAP","Other","CHARLOTTE-NC"
"Terrestial Radio-Speed Perk","AAP","Other","CHICAGO-IL"
"Terrestial Radio-Speed Perk","AAP","Other","DALLAS-TX"
"Terrestial Radio-Speed Perk","AAP","Other","DENVER-CO"
"Terrestial Radio-Speed Perk","AAP","Other","DETROIT-MI"
"Terrestial Radio-Speed Perk","AAP","Other","HARRISBURG/LANCASTER-PA"
"Terrestial Radio-Speed Perk","AAP","Other","HOUSTON-TX"
"Terrestial Radio-Speed Perk","AAP","Other","INDIANAPOLIS-IN"
"Terrestial Radio-Speed Perk","AAP","Other","MIAMI/FT. LAUDERDALE-FL"
"Terrestial Radio-Speed Perk","AAP","Other","MILWAUKEE-WI"
"Terrestial Radio-Speed Perk","AAP","Other","NEW HAVEN/HARTFORD-CT"
"Terrestial Radio-Speed Perk","AAP","Other","National"
"Terrestial Radio-Speed Perk","AAP","Other","ORLANDO/DAYTONA/MELBOURNE-FL"
"Terrestial Radio-Speed Perk","AAP","Other","PHILADELPHIA-PA"
"Terrestial Radio-Speed Perk","AAP","Other","PITTSBURGH-PA"
"Terrestial Radio-Speed Perk","AAP","Other","PORTLAND-OR"
"Terrestial Radio-Speed Perk","AAP","Other","RALEIGH-NC"
"Terrestial Radio-Speed Perk","AAP","Other","SALT LAKE CITY-UT"
"Terrestial Radio-Speed Perk","AAP","Other","SAN ANTONIO-TX"
"Terrestial Radio-Speed Perk","AAP","Other","SEATTLE-WA"
"Terrestial Radio-Speed Perk","AAP","Other","ST. LOUIS-MO"
"Terrestial Radio-Speed Perk","AAP","Other","TAMPA/ST. PETE/LAKELAND-FL"
"Terrestial Radio-Speed Perk","AAP","Other","TRI-STATE-NY/NJ/CT"
"Terrestial Radio-Speed Perk","AAP","Other","WASHINGTON D.C."
"Terrestial Radio-Speed Perk","AAP","Parts","ALBUQUERQUE/SANTA FE-NM"
"Terrestial Radio-Speed Perk","AAP","Parts","ATLANTA-GA"
"Terrestial Radio-Speed Perk","AAP","Parts","AUSTIN-TX"
"Terrestial Radio-Speed Perk","AAP","Parts","BALTIMORE-MD"
"Terrestial Radio-Speed Perk","AAP","Parts","BIRMINGHAM-AL"
"Terrestial Radio-Speed Perk","AAP","Parts","BOSTON-MA"
"Terrestial Radio-Speed Perk","AAP","Parts","CHARLOTTE-NC"
"Terrestial Radio-Speed Perk","AAP","Parts","CHICAGO-IL"
"Terrestial Radio-Speed Perk","AAP","Parts","DALLAS-TX"
"Terrestial Radio-Speed Perk","AAP","Parts","DENVER-CO"
"Terrestial Radio-Speed Perk","AAP","Parts","DETROIT-MI"
"Terrestial Radio-Speed Perk","AAP","Parts","HARRISBURG/LANCASTER-PA"
"Terrestial Radio-Speed Perk","AAP","Parts","HOUSTON-TX"
"Terrestial Radio-Speed Perk","AAP","Parts","INDIANAPOLIS-IN"
"Terrestial Radio-Speed Perk","AAP","Parts","MIAMI/FT. LAUDERDALE-FL"
"Terrestial Radio-Speed Perk","AAP","Parts","MILWAUKEE-WI"
"Terrestial Radio-Speed Perk","AAP","Parts","NEW HAVEN/HARTFORD-CT"
"Terrestial Radio-Speed Perk","AAP","Parts","National"
"Terrestial Radio-Speed Perk","AAP","Parts","ORLANDO/DAYTONA/MELBOURNE-FL"
"Terrestial Radio-Speed Perk","AAP","Parts","PHILADELPHIA-PA"
"Terrestial Radio-Speed Perk","AAP","Parts","PITTSBURGH-PA"
"Terrestial Radio-Speed Perk","AAP","Parts","PORTLAND-OR"
"Terrestial Radio-Speed Perk","AAP","Parts","RALEIGH-NC"
"Terrestial Radio-Speed Perk","AAP","Parts","SALT LAKE CITY-UT"
"Terrestial Radio-Speed Perk","AAP","Parts","SAN ANTONIO-TX"
"Terrestial Radio-Speed Perk","AAP","Parts","SEATTLE-WA"
"Terrestial Radio-Speed Perk","AAP","Parts","ST. LOUIS-MO"
"Terrestial Radio-Speed Perk","AAP","Parts","TAMPA/ST. PETE/LAKELAND-FL"
"Terrestial Radio-Speed Perk","AAP","Parts","TRI-STATE-NY/NJ/CT"
"Terrestial Radio-Speed Perk","AAP","Parts","WASHINGTON D.C."
"Valvoline Oil - Direct Mail","Vavoline","Oil","National"
"Valvoline Oil - Display","Vavoline","Oil","National"
"Valvoline Oil - Radio","Vavoline","Oil","National"
"Valvoline Oil - Search","Vavoline","Oil","National"
"Valvoline Oil - Social","Vavoline","Oil","National"
"Youtube","AAP","Batteries","National"
"Youtube","AAP","Brakes","National"
"Youtube","AAP","Oil","National"
"Youtube","AAP","Other","National"
