"bdgt_id","dma1_name","chan1_name","client_id","chan1_id","dma1_id","week_id","percent_max","sp_max_h","sp_min_h"
"187_1_8",NULL,NULL,25,187,1,8,NULL,NULL,NULL
"187_1_9",NULL,NULL,25,187,1,9,NULL,NULL,NULL
"195_1_0",NULL,NULL,25,195,1,0,NULL,NULL,NULL
"195_1_1",NULL,NULL,25,195,1,1,NULL,NULL,NULL
"195_1_10",NULL,NULL,25,195,1,10,NULL,NULL,NULL
"195_1_11",NULL,NULL,25,195,1,11,NULL,NULL,NULL
"195_1_12",NULL,NULL,25,195,1,12,NULL,NULL,NULL
"195_1_13",NULL,NULL,25,195,1,13,NULL,NULL,NULL
"195_1_14",NULL,NULL,25,195,1,14,NULL,NULL,NULL
"195_1_15",NULL,NULL,25,195,1,15,NULL,NULL,NULL
"195_1_16",NULL,NULL,25,195,1,16,NULL,NULL,NULL
"195_1_17",NULL,NULL,25,195,1,17,NULL,NULL,NULL
"195_1_18",NULL,NULL,25,195,1,18,NULL,NULL,NULL
